GCA_protein_ID,GCA_gene_ID,GCF_protein_ID,GCF_gene_ID,common_name,product,Orthogroup
ABJ11226.1,PA14_38140,WP_011666686.1,PA14_RS15500,PA14_RS15500,glutamine synthetase family protein,OG0000129
ABJ11225.1,PA14_38160,WP_009315631.1,,,,OG0001509
ABJ11224.1,PA14_38170,WP_003088669.1,PA14_RS15510,PA14_RS15510,AzlD domain-containing protein,OG0001508
ABJ11223.1,PA14_38180,WP_003139692.1,PA14_RS15515,PA14_RS15515,hypothetical protein,OG0001507
ABJ11222.1,PA14_38190,WP_003120198.1,PA14_RS15520,PA14_RS15520,methyltransferase domain-containing protein,OG0001506
ABJ11221.1,PA14_38200,WP_003139693.1,PA14_RS15525,PA14_RS15525,thiamine pyrophosphate-binding protein,OG0001505
ABJ11220.1,PA14_38210,WP_003100350.1,PA14_RS15530,PA14_RS15530,class I SAM-dependent methyltransferase,OG0001504
ABJ11219.1,PA14_38220,WP_003139694.1,PA14_RS15535,PA14_RS15535,siderophore-interacting protein,OG0001503
ABJ11218.1,PA14_38250,WP_003100354.1,PA14_RS15540,PA14_RS15540,PLP-dependent aminotransferase family protein,OG0001502
ABJ11217.1,PA14_38260,WP_003139695.1,PA14_RS15545,PA14_RS15545,DUF1127 domain-containing protein,OG0001501
ABJ11216.1,PA14_38270,WP_003139696.1,PA14_RS15550,PA14_RS15550,hypothetical protein,OG0001500
ABJ11215.1,PA14_38290,WP_003088651.1,PA14_RS15555,PA14_RS15555,winged helix-turn-helix domain-containing protein,OG0001499
ABJ11214.1,PA14_38300,WP_003088649.1,PA14_RS15560,PA14_RS15560,Lrp/AsnC family transcriptional regulator,OG0001498
ABJ11213.1,PA14_38310,WP_003088646.1,PA14_RS15565,PA14_RS15565,hypothetical protein,OG0001497
ABJ11212.1,PA14_38320,WP_003128792.1,PA14_RS15570,PA14_RS15570,bile acid:sodium symporter,OG0001496
ABJ11211.1,PA14_38330,WP_003139698.1,PA14_RS15575,gorA,glutathione-disulfide reductase,OG0001495
ABJ11210.1,PA14_38340,WP_003139700.1,PA14_RS15580,PA14_RS15580,VOC family protein,OG0001494
ABJ11209.1,PA14_38350,WP_003088639.1,PA14_RS15585,galU,UTP--glucose-1-phosphate uridylyltransferase GalU,OG0001493
ABJ11208.1,PA14_38360,WP_003088636.1,PA14_RS15590,PA14_RS15590,UDP-glucose 6-dehydrogenase,OG0000128
ABJ11207.1,PA14_38370,WP_003088627.1,PA14_RS15595,PA14_RS15595,DUF3203 family protein,OG0001492
ABJ11206.1,PA14_38380,WP_003139702.1,PA14_RS15600,amrR,TetR family transcriptional regulator AmrR,OG0001491
ABJ15633.1,PA14_38395,WP_003088624.1,PA14_RS15605,mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,OG0005440
ABJ11205.1,PA14_38410,WP_011666687.1,PA14_RS15610,mexY,multidrug efflux RND transporter permease subunit MexY,OG0000021
ABJ11204.1,PA14_38420,WP_003088602.1,PA14_RS15615,PA14_RS15615,YjiK family protein,OG0000127
ABJ11203.1,PA14_38430,WP_003139704.1,PA14_RS15620,liuR,liu genes transcriptional regulator LiuR,OG0001490
ABJ11202.1,PA14_38440,WP_003088600.1,PA14_RS15625,liuA,isovaleryl-CoA dehydrogenase,OG0001489
ABJ11201.1,PA14_38460,WP_003100387.1,PA14_RS15630,liuB,methylcrotonyl-CoA carboxylase subunit beta,OG0001488
ABJ11200.1,PA14_38470,WP_003088598.1,PA14_RS15635,PA14_RS15635,gamma-carboxygeranoyl-CoA hydratase,OG0001487
ABJ11199.1,PA14_38480,WP_011666688.1,PA14_RS15640,liuD,methylcrotonyl-CoA carboxylase subunit alpha,OG0000126
ABJ11198.1,PA14_38490,WP_003088593.1,PA14_RS15645,liuE,bifunctional 3-hydroxy-3-isohexenylglutaryl-CoA lyase/hydroxymethylglutaryl-CoA lyase,OG0001486
ABJ11197.1,PA14_38500,WP_003111362.1,PA14_RS15650,PA14_RS15650,IclR family transcriptional regulator,OG0001485
ABJ11196.1,PA14_38510,WP_003088587.1,PA14_RS15655,hmgA,homogentisate 1%2C2-dioxygenase,OG0001484
ABJ11195.1,PA14_38530,WP_003111363.1,PA14_RS15660,fahA,fumarylacetoacetase,OG0001483
ABJ11194.1,PA14_38550,WP_003128823.1,PA14_RS15665,maiA,maleylacetoacetate isomerase,OG0001482
ABJ11193.1,PA14_38560,WP_011666689.1,PA14_RS15670,PA14_RS15670,aromatic acid/H+ symport family MFS transporter,OG0001481
ABJ11192.1,PA14_38570,WP_003139728.1,PA14_RS15675,hbcR,sigma-54-dependent transcriptional regulator HbcR,OG0001480
ABJ11191.1,PA14_38580,WP_011666691.1,PA14_RS15680,PA14_RS15680,GntP family permease,OG0001479
ABJ11190.1,PA14_38590,WP_003139730.1,PA14_RS15685,bdhA,3-hydroxybutyrate dehydrogenase,OG0001478
ABJ11189.1,PA14_38610,WP_003088572.1,PA14_RS15690,PA14_RS15690,TIGR00366 family protein,OG0001477
ABJ11188.1,PA14_38630,WP_003139732.1,PA14_RS15695,PA14_RS15695,acetyl-CoA C-acetyltransferase,OG0000020
ABJ11187.1,PA14_38640,WP_003088567.1,PA14_RS15700,PA14_RS15700,CoA transferase subunit B,OG0001476
ABJ11186.1,PA14_38660,WP_003088566.1,PA14_RS15705,PA14_RS15705,CoA transferase subunit A,OG0001475
ABJ11185.1,PA14_38680,WP_003088564.1,PA14_RS15710,PA14_RS15710,LysR family transcriptional regulator,OG0001474
ABJ11184.1,PA14_38690,WP_003139739.1,PA14_RS15715,PA14_RS15715,acetoacetate--CoA ligase,OG0001473
ABJ11183.1,PA14_38700,WP_003088559.1,PA14_RS15720,PA14_RS15720,peptidylprolyl isomerase,OG0000125
ABJ11182.1,PA14_38710,WP_003111913.1,PA14_RS15725,PA14_RS15725,MmcQ/YjbR family DNA-binding protein,OG0001472
ABJ11181.1,PA14_38720,WP_003132242.1,PA14_RS15730,PA14_RS15730,putative glycolipid-binding domain-containing protein,OG0001471
ABJ11180.1,PA14_38730,WP_003139740.1,PA14_RS15735,PA14_RS15735,MFS transporter,OG0001470
ABJ11179.1,PA14_38740,WP_003139741.1,PA14_RS15740,PA14_RS15740,ATP-binding protein,OG0001469
ABJ11178.1,PA14_38750,WP_003139742.1,PA14_RS15745,PA14_RS15745,iron-containing alcohol dehydrogenase,OG0001468
ABJ11177.1,PA14_38770,WP_003139743.1,PA14_RS15750,PA14_RS15750,S9 family peptidase,OG0001467
ABJ11176.1,PA14_38780,WP_003119136.1,PA14_RS15755,pqqE,pyrroloquinoline quinone biosynthesis protein PqqE,OG0001466
ABJ11175.1,PA14_38790,WP_003088542.1,PA14_RS15760,pqqD,pyrroloquinoline quinone biosynthesis peptide chaperone PqqD,OG0001465
ABJ11174.1,PA14_38800,WP_003111679.1,PA14_RS15765,pqqC,pyrroloquinoline-quinone synthase PqqC,OG0001464
ABJ11173.1,PA14_38820,WP_003106464.1,PA14_RS15770,pqqB,pyrroloquinoline quinone biosynthesis protein PqqB,OG0001463
ABJ15699.1,PA14_38825,WP_003106462.1,PA14_RS15775,pqqA,pyrroloquinoline quinone precursor peptide PqqA,OG0005493
ABJ11172.1,PA14_38840,WP_011666692.1,PA14_RS15780,PA14_RS15780,aldehyde dehydrogenase,OG0000124
ABJ11171.1,PA14_38850,WP_003088533.1,PA14_RS15785,pedF,cytochrome c-550 PedF,OG0001462
ABJ11170.1,PA14_38860,WP_003139755.1,PA14_RS15790,exaA,quinoprotein ethanol dehydrogenase,OG0001461
ABJ11169.1,PA14_38880,WP_003139757.1,PA14_RS15795,PA14_RS15795,pentapeptide repeat-containing protein,OG0001460
ABJ11168.1,PA14_38900,WP_003160135.1,PA14_RS15800,PA14_RS15800,response regulator transcription factor,OG0001459
ABJ11167.1,PA14_38910,WP_003139766.1,PA14_RS15805,PA14_RS15805,sensor histidine kinase,OG0001458
ABJ11166.1,PA14_38920,WP_003088510.1,PA14_RS31425,PA14_RS31425,hypothetical protein,OG0001457
ABJ11165.1,PA14_38930,WP_003107754.1,PA14_RS15810,agmR,response regulator AgmR,OG0001456
ABJ11164.1,PA14_38950,WP_003113465.1,PA14_RS15815,PA14_RS15815,DMT family transporter,OG0001455
ABJ11163.1,PA14_38970,WP_003139767.1,PA14_RS15820,PA14_RS15820,PAS domain-containing protein,OG0001454
ABJ11162.1,PA14_38990,WP_003139768.1,PA14_RS15825,PA14_RS15825,FIST signal transduction protein,OG0001453
ABJ11161.1,PA14_39000,WP_003139769.1,PA14_RS15830,PA14_RS15830,porin,OG0001452
ABJ11160.1,PA14_39010,WP_003139770.1,PA14_RS15835,pqqF,pyrroloquinoline quinone biosynthesis protein PqqF,OG0001451
ABJ11159.1,PA14_39020,WP_003139773.1,PA14_RS15840,PA14_RS15840,phosphoethanolamine--lipid A transferase,OG0000123
ABJ11158.1,PA14_39050,WP_003113469.1,PA14_RS15845,brnQ,branched-chain amino acid transport system II carrier protein,OG0000101
ABJ11157.1,PA14_39060,WP_003088496.1,PA14_RS15850,PA14_RS15850,hypothetical protein,OG0001450
ABJ11156.1,PA14_39070,WP_003088494.1,PA14_RS15855,PA14_RS15855,I78 family peptidase inhibitor,OG0001449
ABJ11155.1,PA14_39080,WP_003111311.1,PA14_RS15860,PA14_RS15860,hypothetical protein,OG0001448
ABJ11154.1,PA14_39090,WP_003139775.1,PA14_RS15865,PA14_RS15865,hypothetical protein,OG0001447
ABJ11153.1,PA14_39100,WP_003139776.1,PA14_RS15870,PA14_RS15870,5-carboxymethyl-2-hydroxymuconate isomerase,OG0001446
ABJ11152.1,PA14_39110,WP_003111314.1,PA14_RS15875,PA14_RS15875,hypothetical protein,OG0001445
ABJ11151.1,PA14_39130,WP_003111315.1,PA14_RS15885,PA14_RS15885,ABC-F family ATPase,OG0001444
ABJ11150.1,PA14_39140,WP_003088334.1,PA14_RS15890,PA14_RS15890,hypothetical protein,OG0001443
ABJ11149.1,PA14_39150,WP_003088332.1,PA14_RS15895,azoR2,FMN-dependent NADH-azoreductase AzoR2,OG0001442
ABJ11148.1,PA14_39160,WP_003139777.1,PA14_RS15900,PA14_RS15900,LysR substrate-binding domain-containing protein,OG0001441
ABJ11147.1,PA14_39180,,,,,
ABJ11146.1,PA14_39190,WP_003088326.1,PA14_RS15910,PA14_RS15910,undecaprenyl-diphosphate phosphatase,OG0001440
ABJ11145.1,PA14_39200,WP_003088324.1,PA14_RS15915,pnuC,nicotinamide riboside transporter PnuC,OG0001439
ABJ11144.1,PA14_39210,WP_003139778.1,PA14_RS15920,PA14_RS15920,AAA family ATPase,OG0001438
ABJ11143.1,PA14_39220,WP_003117397.1,PA14_RS15925,PA14_RS15925,hypothetical protein,OG0001437
ABJ11142.1,PA14_39230,WP_003111321.1,PA14_RS15930,PA14_RS15930,hypothetical protein,OG0001436
ABJ11141.1,PA14_39240,WP_003088317.1,PA14_RS15935,PA14_RS15935,hypothetical protein,OG0001435
ABJ11140.1,PA14_39250,WP_003117395.1,PA14_RS15940,PA14_RS15940,C39 family peptidase,OG0001434
ABJ11139.1,PA14_39260,WP_003139780.1,PA14_RS15945,PA14_RS15945,hypothetical protein,OG0001433
ABJ11138.1,PA14_39270,WP_003088309.1,PA14_RS15950,PA14_RS15950,transporter,OG0001432
ABJ11137.1,PA14_39280,WP_003088307.1,PA14_RS15955,rbsK,ribokinase,OG0001431
ABJ11136.1,PA14_39300,WP_003139784.1,PA14_RS15960,PA14_RS15960,LacI family DNA-binding transcriptional regulator,OG0001430
ABJ11135.1,PA14_39320,WP_003088303.1,PA14_RS15965,PA14_RS15965,ABC transporter permease,OG0001429
ABJ11134.1,PA14_39330,WP_003119159.1,PA14_RS15970,PA14_RS15970,sugar ABC transporter ATP-binding protein,OG0001428
ABJ11133.1,PA14_39350,WP_003139787.1,PA14_RS15975,PA14_RS15975,sugar ABC transporter substrate-binding protein,OG0001427
ABJ11132.1,PA14_39360,WP_003139790.1,PA14_RS15980,PA14_RS15980,sigma-54 dependent transcriptional regulator,OG0001426
ABJ11131.1,PA14_39390,WP_003139792.1,PA14_RS15985,PA14_RS15985,RimK family protein,OG0000082
ABJ11130.1,PA14_39410,WP_003139794.1,PA14_RS15990,PA14_RS15990,GNAT family N-acetyltransferase/peptidase C39 family protein,OG0001425
ABJ11129.1,PA14_39420,WP_003088290.1,PA14_RS31660,PA14_RS31660,hypothetical protein,OG0001424
ABJ11128.1,PA14_39440,WP_003139800.1,PA14_RS15995,PA14_RS15995,di-heme-cytochrome C peroxidase,OG0001423
ABJ11127.1,PA14_39460,WP_003139801.1,PA14_RS16000,PA14_RS16000,catalase family protein,OG0001422
ABJ11126.1,PA14_39470,WP_003139802.1,PA14_RS30595,PA14_RS30595,hypothetical protein,OG0001421
ABJ11125.1,PA14_39480,WP_003139803.1,PA14_RS16005,PA14_RS16005,AAA family ATPase,OG0001420
ABJ11124.1,PA14_39500,WP_003111130.1,PA14_RS16010,PA14_RS16010,DUF4354 family protein,OG0001419
ABJ11123.1,PA14_39520,WP_003139804.1,PA14_RS16015,PA14_RS16015,xanthine dehydrogenase family protein molybdopterin-binding subunit,OG0001418
ABJ11122.1,PA14_39530,WP_003102358.1,PA14_RS16020,PA14_RS16020,xanthine dehydrogenase family protein subunit M,OG0001417
ABJ11121.1,PA14_39540,WP_003088271.1,PA14_RS16025,PA14_RS16025,(2Fe-2S)-binding protein,OG0001416
ABJ11120.1,PA14_39560,WP_369700333.1,,,,OG0000087
ABJ11119.1,PA14_39570,WP_003088248.1,PA14_RS16035,PA14_RS16035,hypothetical protein,OG0001415
ABJ11118.1,PA14_39580,WP_003139808.1,PA14_RS16040,PA14_RS16040,GNAT family N-acetyltransferase,OG0001414
ABJ11117.1,PA14_39590,WP_003139809.1,PA14_RS16045,metE,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,OG0001413
ABJ11116.1,PA14_39610,WP_024082579.1,PA14_RS16050,PA14_RS16050,OsmC domain/YcaO domain-containing protein,OG0001412
ABJ11115.1,PA14_39620,WP_003088238.1,PA14_RS16055,PA14_RS16055,DUF2149 domain-containing protein,OG0001411
ABJ11114.1,PA14_39630,WP_003088234.1,PA14_RS16060,PA14_RS16060,MotA/TolQ/ExbB proton channel family protein,OG0001410
ABJ11113.1,PA14_39640,WP_003139813.1,PA14_RS16065,cobN,cobaltochelatase subunit CobN,OG0001409
ABJ11112.1,PA14_39650,WP_003139815.1,PA14_RS16070,PA14_RS16070,TonB-dependent receptor,OG0001408
ABJ11111.1,PA14_39660,WP_003088221.1,PA14_RS16075,PA14_RS16075,class I SAM-dependent methyltransferase,OG0001407
ABJ11110.1,PA14_39670,,,,,
ABJ11109.1,PA14_39690,WP_003088215.1,PA14_RS16080,PA14_RS16080,ribonucleoside triphosphate reductase,OG0001406
ABJ11108.1,PA14_39700,WP_003088212.1,PA14_RS16085,PA14_RS16085,oxidoreductase,OG0001405
ABJ11107.1,PA14_39710,WP_003139818.1,PA14_RS16090,PA14_RS16090,anaerobic ribonucleoside-triphosphate reductase activating protein,OG0001404
ABJ11106.1,PA14_39720,WP_003105844.1,PA14_RS16095,PA14_RS16095,FAD-dependent oxidoreductase,OG0001403
ABJ11105.1,PA14_39730,WP_003139820.1,PA14_RS16100,PA14_RS16100,cupin domain-containing protein,OG0001402
ABJ11104.1,PA14_39750,WP_003139822.1,PA14_RS16105,PA14_RS16105,amino acid permease,OG0000122
ABJ11103.1,PA14_39770,WP_011666694.1,PA14_RS16110,PA14_RS16110,PucR family transcriptional regulator,OG0001401
ABJ11102.1,PA14_39780,WP_003112111.1,PA14_RS16115,PA14_RS16115,DUF2599 domain-containing protein,OG0001400
ABJ11101.1,PA14_39790,WP_003088189.1,PA14_RS16120,PA14_RS16120,hypothetical protein,OG0001399
ABJ11100.1,PA14_39800,WP_003088185.1,PA14_RS16125,PA14_RS16125,sigma-70 family RNA polymerase sigma factor,OG0000019
ABJ11099.1,PA14_39810,WP_003139826.1,PA14_RS16130,PA14_RS16130,FecR family protein,OG0001398
ABJ11098.1,PA14_39820,WP_003139828.1,PA14_RS16135,PA14_RS16135,TonB-dependent receptor,OG0001397
ABJ11097.1,PA14_39830,WP_003088170.1,PA14_RS16140,PA14_RS16140,PepSY domain-containing protein,OG0001396
ABJ11096.1,PA14_39850,WP_011666695.1,PA14_RS16150,PA14_RS16150,MFS transporter,OG0001395
ABJ11095.1,PA14_39860,WP_003139832.1,PA14_RS16155,PA14_RS16155,dienelactone hydrolase,OG0001394
ABJ11094.1,PA14_39870,WP_003139833.1,PA14_RS16160,PA14_RS16160,HIT family protein,OG0001393
ABJ11093.1,PA14_39880,WP_093945134.1,PA14_RS16165,phzG,phenazine biosynthesis FMN-dependent oxidase PhzG,OG0000121
ABJ11092.1,PA14_39890,,,,,
ABJ11091.1,PA14_39910,WP_011666697.1,PA14_RS16175,phzE,phenazine biosynthesis protein PhzE,OG0000120
ABJ15681.1,PA14_39925,WP_011666698.1,PA14_RS16180,phzD,phenazine biosynthesis protein PhzD,OG0000207
ABJ15680.1,PA14_39945,WP_011666699.1,PA14_RS16185,phzC,phenazine biosynthesis protein PhzC,OG0000206
ABJ11090.1,PA14_39960,WP_003115119.1,PA14_RS16190,phzB,phenazine biosynthesis protein PhzB,OG0000008
ABJ11089.1,PA14_39970,WP_009877875.1,PA14_RS16195,phzA,phenazine biosynthesis protein PhzA,OG0000008
ABJ11088.1,PA14_39980,WP_003118960.1,PA14_RS16200,qscR,quorum-sensing transcriptional repressor QscR,OG0001392
ABJ11087.1,PA14_39990,WP_003102692.1,PA14_RS16205,PA14_RS16205,sterol desaturase family protein,OG0001391
ABJ11086.1,PA14_40010,WP_003088150.1,PA14_RS16210,PA14_RS16210,hypothetical protein,OG0001390
ABJ11085.1,PA14_40020,,,,,
ABJ11084.1,PA14_40030,WP_003088147.1,,,,OG0001389
ABJ11083.1,PA14_40040,WP_003139868.1,PA14_RS16225,PA14_RS16225,penicillin acylase family protein,OG0001388
ABJ11082.1,PA14_40050,WP_003088145.1,PA14_RS16230,PA14_RS16230,hypothetical protein,OG0001387
ABJ11081.1,PA14_40060,WP_003139870.1,PA14_RS16235,PA14_RS16235,hypothetical protein,OG0001386
ABJ11080.1,PA14_40070,WP_003088140.1,PA14_RS16240,PA14_RS16240,glutathione S-transferase,OG0001385
ABJ11079.1,PA14_40080,WP_003115740.1,,,,OG0001384
ABJ11078.1,PA14_40100,WP_003139874.1,PA14_RS16255,PA14_RS16255,alpha/beta hydrolase,OG0001383
ABJ11077.1,PA14_40110,WP_003102715.1,PA14_RS16260,PA14_RS16260,hypothetical protein,OG0001382
ABJ11076.1,PA14_40120,WP_003139876.1,PA14_RS16265,PA14_RS16265,DNA polymerase II,OG0001381
ABJ11075.1,PA14_40130,WP_003102722.1,PA14_RS16270,PA14_RS16270,GNAT family N-acetyltransferase,OG0001380
ABJ11074.1,PA14_40150,WP_003139878.1,PA14_RS16275,PA14_RS16275,XRE family transcriptional regulator,OG0001379
ABJ11073.1,PA14_40160,WP_003088123.1,PA14_RS16280,ndhC,NADH-quinone oxidoreductase subunit A,OG0000119
ABJ11072.1,PA14_40170,WP_003102734.1,PA14_RS16285,PA14_RS16285,multidrug efflux SMR transporter,OG0000118
ABJ11071.1,PA14_40180,WP_003102736.1,PA14_RS16290,PA14_RS16290,(2Fe-2S)-binding protein,OG0000117
ABJ11070.1,PA14_40200,WP_003139882.1,PA14_RS16295,PA14_RS16295,xanthine dehydrogenase family protein molybdopterin-binding subunit,OG0001378
ABJ11069.1,PA14_40210,WP_003088112.1,PA14_RS16300,PA14_RS16300,helix-turn-helix transcriptional regulator,OG0001377
ABJ11068.1,PA14_40220,WP_003110488.1,PA14_RS16305,PA14_RS16305,HD domain-containing protein,OG0001376
ABJ11067.1,PA14_40230,WP_003139884.1,PA14_RS16310,PA14_RS16310,HlyD family efflux transporter periplasmic adaptor subunit,OG0001375
ABJ11066.1,PA14_40240,WP_003139887.1,PA14_RS16315,PA14_RS16315,type I secretion system permease/ATPase,OG0001374
ABJ11065.1,PA14_40250,WP_003139889.1,PA14_RS16320,PA14_RS16320,TolC family protein,OG0001373
ABJ11064.1,PA14_40260,WP_003139891.1,PA14_RS16325,PA14_RS16325,Ig-like domain-containing protein,OG0001372
ABJ11063.1,PA14_40270,WP_003106674.1,PA14_RS16330,PA14_RS16330,transporter,OG0001371
ABJ11062.1,PA14_40280,WP_003106675.1,PA14_RS16335,PA14_RS16335,EcsC family protein,OG0001370
ABJ11061.1,PA14_40290,WP_003139897.1,PA14_RS16340,lasA,elastinolytic metalloprotease LasA,OG0001369
ABJ11060.1,PA14_40300,WP_003139898.1,PA14_RS16345,PA14_RS16345,hypothetical protein,OG0001368
ABJ11059.1,PA14_40310,WP_003132735.1,PA14_RS16350,acpP,acyl carrier protein,OG0000116
ABJ11058.1,PA14_40320,WP_003139899.1,PA14_RS16355,gspD,type II secretion system secretin GspD,OG0000115
ABJ11057.1,PA14_40330,WP_003113617.1,PA14_RS16360,PA14_RS16360,type VI pilus biosynthesis protein,OG0001367
ABJ11056.1,PA14_40340,WP_003088087.1,PA14_RS16365,PA14_RS16365,hypothetical protein,OG0001366
ABJ11055.1,PA14_40350,WP_003088085.1,PA14_RS16370,PA14_RS16370,ATP-dependent DNA helicase,OG0001365
ABJ11054.1,PA14_40370,WP_003139900.1,PA14_RS16375,fan1,nuclease Fan1,OG0001364
ABJ11053.1,PA14_40380,WP_003088072.1,PA14_RS16380,PA14_RS16380,TetR/AcrR family transcriptional regulator,OG0000090
ABJ11052.1,PA14_40390,WP_003117674.1,PA14_RS16385,modA,molybdate ABC transporter substrate-binding protein,OG0001363
ABJ11051.1,PA14_40410,WP_003088068.1,PA14_RS16390,modB,molybdate ABC transporter permease subunit,OG0001362
ABJ11050.1,PA14_40420,WP_003098212.1,PA14_RS16395,modC,molybdenum ABC transporter ATP-binding protein,OG0001361
ABJ11049.1,PA14_40430,WP_003132742.1,PA14_RS16400,PA14_RS16400,class I SAM-dependent methyltransferase,OG0001360
ABJ11048.1,PA14_40440,WP_003088060.1,PA14_RS16405,PA14_RS16405,LysR family transcriptional regulator,OG0001359
ABJ11047.1,PA14_40450,WP_003088058.1,PA14_RS16410,PA14_RS16410,aminoglycoside phosphotransferase family protein,OG0001358
ABJ11046.1,PA14_40470,WP_003088056.1,PA14_RS16415,PA14_RS16415,TrkH family potassium uptake protein,OG0000114
ABJ11045.1,PA14_40490,WP_003088054.1,PA14_RS16420,PA14_RS16420,DUF808 domain-containing protein,OG0001357
ABJ11044.1,PA14_40510,WP_003139901.1,PA14_RS16425,ccoN,cytochrome-c oxidase%2C cbb3-type subunit I,OG0000007
ABJ11043.1,PA14_40520,WP_003108719.1,PA14_RS16430,PA14_RS16430,hypothetical protein,OG0001356
ABJ11042.1,PA14_40540,WP_003139903.1,PA14_RS16435,PA14_RS16435,HPP family protein,OG0001355
ABJ11041.1,PA14_40550,WP_003139905.1,PA14_RS16440,PA14_RS16440,LysR family transcriptional regulator,OG0001354
ABJ11040.1,PA14_40560,WP_003098204.1,PA14_RS16445,PA14_RS16445,hypothetical protein,OG0001353
ABJ11039.1,PA14_40570,WP_003132751.1,PA14_RS16450,PA14_RS16450,GGDEF domain-containing protein,OG0001352
ABJ11038.1,PA14_40600,WP_003088040.1,PA14_RS16455,PA14_RS16455,GlxA family transcriptional regulator,OG0001351
ABJ11037.1,PA14_40610,WP_003088038.1,PA14_RS16460,PA14_RS16460,DUF1272 domain-containing protein,OG0001350
ABJ11036.1,PA14_40620,WP_003139908.1,PA14_RS16465,PA14_RS16465,MFS transporter,OG0001349
ABJ11035.1,PA14_40630,WP_003088034.1,PA14_RS16470,nfuA,Fe-S biogenesis protein NfuA,OG0001348
ABJ11034.1,PA14_40640,WP_003139911.1,PA14_RS16475,PA14_RS16475,fatty acid cis/trans isomerase,OG0001347
ABJ11033.1,PA14_40650,WP_003139919.1,PA14_RS16480,tsi1,type IV secretion system immunity protein Tsi1,OG0001346
ABJ11032.1,PA14_40660,WP_003088027.1,PA14_RS16485,tse1,type VI secretion system effector peptidoglycanhydrolase Tse1,OG0001345
ABJ11031.1,PA14_40670,WP_003139920.1,PA14_RS16490,metH,methionine synthase,OG0001344
ABJ11030.1,PA14_40690,WP_003098191.1,PA14_RS16495,PA14_RS16495,50S ribosome-binding protein YggL,OG0001343
ABJ11029.1,PA14_40700,WP_003122823.1,PA14_RS16500,PA14_RS16500,prolyl-tRNA synthetase associated domain-containing protein,OG0001342
ABJ11028.1,PA14_40710,WP_003122824.1,PA14_RS16505,PA14_RS16505,DUF1883 domain-containing protein,OG0001341
ABJ11027.1,PA14_40730,WP_003139921.1,PA14_RS16510,PA14_RS16510,RNA methyltransferase,OG0001340
ABJ11026.1,PA14_40740,WP_003088007.1,PA14_RS16515,PA14_RS16515,DUF2970 domain-containing protein,OG0001339
ABJ11025.1,PA14_40750,,,,,
ABJ11024.1,PA14_40770,WP_003098180.1,PA14_RS16525,PA14_RS16525,nitrite/sulfite reductase,OG0000113
ABJ11023.1,PA14_40780,WP_003088003.1,PA14_RS16530,PA14_RS16530,DUF934 domain-containing protein,OG0001338
ABJ11022.1,PA14_40790,WP_003098179.1,PA14_RS16535,PA14_RS16535,TetR/AcrR family transcriptional regulator,OG0001337
ABJ11021.1,PA14_40800,WP_003098177.1,PA14_RS16540,PA14_RS16540,hotdog fold domain-containing protein,OG0001336
ABJ11020.1,PA14_40820,WP_003087999.1,PA14_RS16545,PA14_RS16545,alpha/beta fold hydrolase,OG0001335
ABJ11019.1,PA14_40830,WP_003087998.1,PA14_RS16550,PA14_RS16550,YhdH/YhfP family quinone oxidoreductase,OG0001334
ABJ11018.1,PA14_40840,WP_003087997.1,PA14_RS16555,sohB,protease SohB,OG0001333
ABJ11017.1,PA14_40850,WP_003087996.1,PA14_RS16560,PA14_RS16560,phosphoglycerate mutase family protein,OG0001332
ABJ11016.1,PA14_40860,WP_003087993.1,PA14_RS16565,PA14_RS16565,SCP2 sterol-binding domain-containing protein,OG0001331
ABJ11015.1,PA14_40880,WP_003087989.1,PA14_RS16570,PA14_RS16570,phosphotransferase family protein,OG0001330
ABJ11014.1,PA14_40890,WP_003087987.1,PA14_RS16575,PA14_RS16575,SDR family oxidoreductase,OG0001329
ABJ11013.1,PA14_40900,WP_003139925.1,PA14_RS16580,PA14_RS16580,SDR family oxidoreductase,OG0001328
ABJ11012.1,PA14_40910,WP_003098166.1,PA14_RS16585,PA14_RS16585,LysR family transcriptional regulator,OG0001327
ABJ11011.1,PA14_40930,WP_003139926.1,PA14_RS16590,PA14_RS16590,hypothetical protein,OG0001326
ABJ11010.1,PA14_40940,WP_003139927.1,PA14_RS16595,PA14_RS16595,TSUP family transporter,OG0001325
ABJ11009.1,PA14_40950,WP_003139928.1,PA14_RS16600,nudC,NAD(+) diphosphatase,OG0001324
ABJ11008.1,PA14_40960,WP_003098159.1,PA14_RS16605,fimL,type IV pilus/biofilm regulator FimL,OG0001323
ABJ11007.1,PA14_40980,WP_003087972.1,PA14_RS16610,PA14_RS16610,crotonase/enoyl-CoA hydratase family protein,OG0001322
ABJ11006.1,PA14_41000,WP_003087967.1,PA14_RS16615,nhaB,sodium/proton antiporter NhaB,OG0001321
ABJ11005.1,PA14_41010,WP_003087965.1,PA14_RS16620,PA14_RS16620,amino acid permease,OG0001320
ABJ11004.1,PA14_41020,WP_003087961.1,PA14_RS16625,ldcA,lysine-specific pyridoxal 5'-phosphate-dependent carboxylase LdcA,OG0001319
ABJ11003.1,PA14_41030,WP_003132809.1,PA14_RS16630,PA14_RS16630,nuclear transport factor 2 family protein,OG0001318
ABJ11002.1,PA14_41050,WP_003139929.1,PA14_RS16635,dnaQ,DNA polymerase III subunit epsilon,OG0001317
